Specimen Name,"1045"
Gauge Length (extensometer),35.31,mm
Initial Diameter (calipers),6.53,mm

Time,Tensile extension,Load
(sec),(mm),(N)
0.000,0.00030,494.593
0.001,0.00030,494.558
1.000,-0.00093,630.270
2.000,-0.00231,727.968
3.000,-0.00365,832.720
4.000,-0.00510,947.876
5.000,-0.00665,1062.669
6.000,-0.00815,1191.544
7.000,-0.00961,1320.628
8.000,-0.01080,1456.249
9.000,-0.01199,1608.335
10.000,-0.01308,1771.966
11.000,-0.01415,1945.143
12.000,-0.01528,2123.184
13.000,-0.01649,2300.931
14.000,-0.01740,2502.585
15.000,-0.01829,2703.669
16.000,-0.01889,2923.110
17.000,-0.01951,3148.542
18.000,-0.02006,3371.143
19.000,-0.02076,3611.677
20.000,-0.02138,3849.786
21.000,-0.02190,4096.021
22.000,-0.02243,4348.889
23.000,-0.02297,4602.486
24.000,-0.02347,4871.635
25.000,-0.02392,5140.821
26.000,-0.02424,5415.254
27.000,-0.02459,5699.916
28.000,-0.02499,5976.235
29.000,-0.02534,6268.153
30.000,-0.02562,6561.495
31.000,-0.02582,6858.788
32.000,-0.02617,7164.150
33.000,-0.02633,7469.707
34.000,-0.02648,7787.932
35.000,-0.02661,8111.472
36.000,-0.02637,8441.523
37.000,-0.02617,8785.851
38.000,-0.02589,9123.814
39.000,-0.02551,9473.911
40.000,-0.02490,9827.042
41.000,-0.02452,10173.291
42.000,-0.02381,10540.338
43.000,-0.02320,10897.870
44.000,-0.02237,11267.243
45.000,-0.02152,11635.551
46.000,-0.02061,11996.052
47.000,-0.01927,12383.425
48.000,-0.01782,12770.638
49.000,-0.01603,13170.709
50.000,-0.01412,13577.405
51.000,-0.01226,13971.570
52.000,-0.01002,14381.471
53.000,-0.00779,14787.044
54.000,-0.00524,15199.490
55.000,-0.00246,15613.310
56.000,0.00012,16010.018
57.000,0.00307,16428.627
58.000,0.00608,16836.017
59.000,0.00916,17237.940
60.000,0.01253,17646.174
61.000,0.01603,18037.313
62.000,0.01978,18432.985
63.000,0.02358,18824.582
64.000,0.02776,19211.935
65.000,0.03231,19604.154
66.000,0.03693,19972.368
67.000,0.04199,20353.416
68.000,0.04735,20725.784
69.000,0.05309,21080.996
70.000,0.05931,21436.331
71.000,0.06610,21771.754
72.000,0.07363,22106.864
73.000,0.08201,22423.477
74.000,0.09116,22716.637
75.000,0.10133,23009.138
76.000,0.11233,23270.294
77.000,0.12430,23525.913
78.000,0.13735,23768.046
79.000,0.15063,23983.148
80.000,0.16486,24201.107
81.000,0.17948,24398.281
82.000,0.19463,24595.453
83.000,0.21037,24781.133
84.000,0.22629,24948.715
85.000,0.24255,25126.028
86.000,0.25925,25284.261
87.000,0.27624,25443.932
88.000,0.29348,25598.726
89.000,0.31083,25736.263
90.000,0.32851,25886.038
91.000,0.34661,26019.594
92.000,0.36458,26156.637
93.000,0.38295,26291.463
94.000,0.40153,26404.926
95.000,0.42023,26532.534
96.000,0.43934,26652.288
97.000,0.45834,26770.332
98.000,0.47788,26883.438
99.000,0.49702,26981.369
100.000,0.51657,27094.778
101.000,0.53637,27197.710
102.000,0.55609,27290.189
103.000,0.57610,27396.157
104.000,0.59625,27480.152
105.000,0.61664,27573.460
106.000,0.63713,27659.920
107.000,0.65755,27740.830
108.000,0.67843,27827.185
109.000,0.69909,27895.251
110.000,0.72005,27975.535
111.000,0.74126,28048.122
112.000,0.76246,28109.401
113.000,0.78395,28180.704
114.000,0.80543,28238.887
115.000,0.82709,28304.243
116.000,0.84865,28360.167
117.000,0.87047,28407.410
118.000,0.89256,28469.855
119.000,0.91492,28515.041
120.000,0.93730,28566.587
121.000,0.95994,28614.709
122.000,0.98255,28650.409
123.000,1.00540,28693.694
124.000,1.02818,28725.040
125.000,1.05113,28768.322
126.000,1.07451,28802.833
127.000,1.09761,28821.269
128.000,1.12104,28859.496
129.000,1.14470,28881.723
130.000,1.16822,28904.244
131.000,1.19184,28927.499
132.000,1.21558,28938.121
133.000,1.23938,28961.551
134.000,1.26326,28971.317
135.000,1.28706,28982.678
136.000,1.31128,29002.127
137.000,1.33549,28998.414
138.000,1.35976,29009.542
139.000,1.38382,29015.231
140.000,1.40825,29013.464
141.000,1.43282,29015.809
142.000,1.45738,29004.422
143.000,1.48215,29005.364
144.000,1.50728,28996.265
145.000,1.53207,28979.599
146.000,1.55733,28974.301
147.000,1.58259,28952.575
148.000,1.60796,28935.388
148.193,1.61496,28932.101
149.000,1.64357,28916.511
150.000,1.67865,28886.744
151.000,1.71436,28866.604
152.000,1.74944,28829.077
153.000,1.78507,28802.589
154.000,1.82064,28771.192
155.000,1.85542,28721.520
156.000,1.89138,28692.880
157.000,1.92650,28649.342
158.000,1.96194,28607.535
159.000,1.99748,28564.349
160.000,2.03233,28509.682
161.000,2.06818,28472.689
162.000,2.10333,28418.860
163.000,2.13882,28370.816
164.000,2.17459,28327.411
165.000,2.20948,28264.463
166.000,2.24510,28214.532
167.000,2.28050,28157.839
168.000,2.31585,28106.442
169.000,2.35160,28053.015
170.000,2.38642,27983.284
171.000,2.42225,27933.201
172.000,2.45776,27871.320
173.000,2.49294,27805.963
174.000,2.52869,27746.633
175.000,2.56363,27675.658
176.000,2.59925,27614.403
177.000,2.63468,27546.898
178.000,2.66985,27475.506
179.000,2.70563,27416.077
180.000,2.74061,27334.931
181.000,2.77616,27266.979
182.000,2.81170,27197.149
183.000,2.84664,27116.331
184.000,2.88231,27048.710
185.000,2.91756,26966.515
186.000,2.95315,26897.532
187.000,2.98866,26818.150
188.000,3.02354,26728.860
189.000,3.05936,26656.735
190.000,3.09473,26570.991
191.000,3.13015,26486.292
192.000,3.16574,26401.430
193.000,3.20071,26307.413
194.000,3.23641,26222.649
195.000,3.27177,26125.792
196.000,3.30724,26034.784
197.000,3.34283,25937.861
198.000,3.37761,25824.022
199.000,3.41354,25718.802
200.000,3.44883,25525.308
